versión,accuracy_ST,accuracy_Levenshtein,recall_ST,recall_Levenshtein,f1_ST,f1_Levenshtein,jaccard_ST,jaccard_Levenshtein
Transformaciones 1 + 3 + 5,0.19696969696969696,0.18181818181818182,0.34210526315789475,0.3157894736842105,0.25,0.23076923076923078,0.12745098039215685,0.11650485436893204
Transformaciones 1 + 3 + 5 + 6,0.1935483870967742,0.1774193548387097,0.3157894736842105,0.2894736842105263,0.24000000000000002,0.22000000000000003,0.12121212121212122,0.11
Transformaciones 1 + 3 + 5 + 7,0.24074074074074073,0.2222222222222222,0.34210526315789475,0.3157894736842105,0.2826086956521739,0.2608695652173913,0.18055555555555555,0.1643835616438356
Transformaciones 1 + 3 + 5 + 6 + 7,0.24,0.22,0.3157894736842105,0.2894736842105263,0.2727272727272727,0.25,0.17391304347826086,0.15714285714285714
