versión,accuracy_ST,accuracy_Levenshtein,recall_ST,recall_Levenshtein,f1_ST,f1_Levenshtein,jaccard_ST,jaccard_Levenshtein
Transformaciones 1 + 3 + 5,0.17708333333333331,0.1076388888888889,0.196524064171123,0.12076648841354724,0.18629789771880123,0.11382543424653822,0.09420289855072464,0.055944055944055944
Transformaciones 1 + 3 + 5 + 6,0.18229813664596273,0.1108695652173913,0.196524064171123,0.12076648841354724,0.18914398695331955,0.11560659796573877,0.0962962962962963,0.05714285714285714
Transformaciones 1 + 3 + 5 + 7,0.23070607553366174,0.1444991789819376,0.196524064171123,0.12076648841354724,0.21224764537527555,0.13157117990902345,0.125,0.07339449541284404
Transformaciones 1 + 3 + 5 + 6 + 7,0.23928571428571427,0.15,0.196524064171123,0.12076648841354724,0.2158070029361497,0.1338051349572087,0.12745098039215685,0.07476635514018691
