versión,accuracy_ST,accuracy_Levenshtein,recall_ST,recall_Levenshtein,f1_ST,f1_Levenshtein,jaccard_ST,jaccard_Levenshtein
Transformaciones 1 + 3 + 5,0.17528735632183906,0.12320402298850575,0.26136363636363635,0.18323863636363635,0.20984145976667662,0.1473406947626405,0.10303030303030303,0.07058823529411765
Transformaciones 1 + 3 + 5 + 6,0.17346014492753623,0.1326388888888889,0.24573863636363635,0.18323863636363635,0.2033682414182586,0.1538860297791546,0.1038961038961039,0.07643312101910828
Transformaciones 1 + 3 + 5 + 7,0.20512820512820512,0.14102564102564102,0.25,0.171875,0.22535211267605634,0.15492957746478875,0.11851851851851852,0.07857142857142857
Transformaciones 1 + 3 + 5 + 6 + 7,0.19736842105263158,0.14864864864864866,0.234375,0.171875,0.2142857142857143,0.15942028985507245,0.11627906976744186,0.08333333333333333
