versión,accuracy_ST,accuracy_Levenshtein,recall_ST,recall_Levenshtein,f1_ST,f1_Levenshtein,jaccard_ST,jaccard_Levenshtein
Transformaciones 1 + 3 + 5,0.18822795379907448,0.13292717818579888,0.30763712981205243,0.21744864961534854,0.2306446641523457,0.16330642058976366,0.12243318141562623,0.08348655912904913
Transformaciones 1 + 3 + 5 + 6,0.19001483921057905,0.13345775868786036,0.27215193244363134,0.19211970224692748,0.22247722665643258,0.15668688242641943,0.11814182802554896,0.07991573367092614
Transformaciones 1 + 3 + 5 + 7,0.22238449609139263,0.16165898277967244,0.29160177627669887,0.21460774052443943,0.24814685393441005,0.181485437790658,0.14962316968130923,0.10655989887955453
Transformaciones 1 + 3 + 5 + 6 + 7,0.22381940427993058,0.16331600831600832,0.2561165789082778,0.1892787931560184,0.23687400519004811,0.17384983446393984,0.14260521785390934,0.10183695219356803
