versión,accuracy_ST,accuracy_Levenshtein,recall_ST,recall_Levenshtein,f1_ST,f1_Levenshtein,jaccard_ST,jaccard_Levenshtein
Transformaciones 1 + 3 + 5,0.20357142857142857,0.11904761904761904,0.4305555555555556,0.25,0.2764392991239049,0.16129032258064516,0.1650485436893204,0.09090909090909091
Transformaciones 1 + 3 + 5 + 6,0.210752688172043,0.11290322580645161,0.3305555555555556,0.175,0.2573966782541522,0.1372549019607843,0.1511627906976744,0.07608695652173914
Transformaciones 1 + 3 + 5 + 7,0.21296296296296297,0.1388888888888889,0.37777777777777777,0.25,0.2723789620341344,0.17857142857142858,0.1744186046511628,0.10989010989010989
Transformaciones 1 + 3 + 5 + 6 + 7,0.21862348178137653,0.1346153846153846,0.2777777777777778,0.175,0.24467603081105574,0.15217391304347824,0.1527777777777778,0.09210526315789473
