versión,accuracy_ST,accuracy_Levenshtein,recall_ST,recall_Levenshtein,f1_ST,f1_Levenshtein,jaccard_ST,jaccard_Levenshtein
Transformación 1,0.12697740112994352,0.09322033898305085,0.37777777777777777,0.275,0.19006933432826542,0.13924050632911394,0.1056338028169014,0.07534246575342465
Transformaciones 1 + 3,0.15256410256410255,0.11538461538461539,0.4027777777777778,0.3,0.2213030652815185,0.16666666666666669,0.11940298507462686,0.08695652173913043
Transformaciones 1 + 4,0.10655737704918032,0.05737704918032787,0.325,0.175,0.16049382716049382,0.08641975308641975,0.09923664122137404,0.051094890510948905
Transformaciones 1 + 5,0.1982323232323232,0.11363636363636363,0.4305555555555556,0.25,0.2714747880410531,0.15625,0.16831683168316833,0.09259259259259259
Transformaciones 1 + 3 + 4,0.12264150943396226,0.0660377358490566,0.325,0.175,0.17808219178082188,0.09589041095890412,0.10743801652892562,0.05511811023622047
Transformaciones 1 + 3 + 5,0.20357142857142857,0.11904761904761904,0.4305555555555556,0.25,0.2764392991239049,0.16129032258064516,0.1650485436893204,0.09090909090909091
