versión,accuracy_ST,accuracy_Levenshtein,recall_ST,recall_Levenshtein,f1_ST,f1_Levenshtein,jaccard_ST,jaccard_Levenshtein
Transformación 1,0.12766830870279144,0.10385878489326765,0.1662210338680927,0.1359180035650624,0.14441597697371697,0.1177451644602323,0.07051282051282051,0.056962025316455694
Transformaciones 1 + 3,0.12766830870279144,0.10385878489326765,0.1662210338680927,0.1359180035650624,0.14441597697371697,0.1177451644602323,0.07051282051282051,0.056962025316455694
Transformaciones 1 + 4,0.14358030372756558,0.036585365853658534,0.18137254901960784,0.045454545454545456,0.1602787940214788,0.04054054054054054,0.08053691275167785,0.0189873417721519
Transformaciones 1 + 5,0.16666666666666666,0.09722222222222222,0.18181818181818182,0.10606060606060606,0.17391304347826086,0.10144927536231883,0.08633093525179857,0.04861111111111111
Transformaciones 1 + 3 + 4,0.14358030372756558,0.036585365853658534,0.18137254901960784,0.045454545454545456,0.1602787940214788,0.04054054054054054,0.08053691275167785,0.0189873417721519
Transformaciones 1 + 3 + 5,0.16666666666666666,0.09722222222222222,0.18181818181818182,0.10606060606060606,0.17391304347826086,0.10144927536231883,0.08633093525179857,0.04861111111111111
