versión,accuracy_ST,accuracy_Levenshtein,recall_ST,recall_Levenshtein,f1_ST,f1_Levenshtein,jaccard_ST,jaccard_Levenshtein
Transformación 1,0.07963836477987421,0.051336477987421386,0.26136363636363635,0.16761363636363635,0.12207888835327899,0.07859958218406751,0.05964912280701754,0.037800687285223365
Transformaciones 1 + 3,0.07963836477987421,0.051336477987421386,0.26136363636363635,0.16761363636363635,0.12207888835327899,0.07859958218406751,0.05964912280701754,0.037800687285223365
Transformaciones 1 + 4,0.10100012347203358,0.056179775280898875,0.27698863636363635,0.15625,0.14802496500287446,0.08264462809917356,0.07563025210084033,0.04065040650406504
Transformaciones 1 + 5,0.17528735632183906,0.11458333333333333,0.26136363636363635,0.171875,0.20984145976667662,0.13749999999999998,0.10303030303030303,0.06432748538011696
Transformaciones 1 + 3 + 4,0.10100012347203358,0.056179775280898875,0.27698863636363635,0.15625,0.14802496500287446,0.08264462809917356,0.07563025210084033,0.04065040650406504
Transformaciones 1 + 3 + 5,0.17528735632183906,0.11458333333333333,0.26136363636363635,0.171875,0.20984145976667662,0.13749999999999998,0.10303030303030303,0.06432748538011696
