versión,accuracy_ST,accuracy_Levenshtein,recall_ST,recall_Levenshtein,f1_ST,f1_Levenshtein,jaccard_ST,jaccard_Levenshtein
Transformación 1,0.14102564102564102,0.14102564102564102,0.2894736842105263,0.2894736842105263,0.18965517241379312,0.18965517241379312,0.08527131782945736,0.08527131782945736
Transformaciones 1 + 3,0.14473684210526316,0.15789473684210525,0.2894736842105263,0.3157894736842105,0.1929824561403509,0.21052631578947367,0.0873015873015873,0.096
Transformaciones 1 + 4,0.15384615384615385,0.1375,0.3157894736842105,0.2894736842105263,0.20689655172413793,0.18644067796610173,0.10434782608695652,0.09401709401709402
Transformaciones 1 + 5,0.18571428571428572,0.17142857142857143,0.34210526315789475,0.3157894736842105,0.24074074074074076,0.22222222222222224,0.12264150943396226,0.11214953271028037
Transformaciones 1 + 3 + 4,0.15789473684210525,0.15384615384615385,0.3157894736842105,0.3157894736842105,0.21052631578947367,0.20689655172413793,0.10810810810810811,0.10714285714285714
Transformaciones 1 + 3 + 5,0.19696969696969696,0.18181818181818182,0.34210526315789475,0.3157894736842105,0.25,0.23076923076923078,0.12745098039215685,0.11650485436893204
