versión,accuracy_ST,accuracy_Levenshtein,recall_ST,recall_Levenshtein,f1_ST,f1_Levenshtein,jaccard_ST,jaccard_Levenshtein
Baseline,0.1480392156862745,0.1480392156862745,0.1359180035650624,0.1359180035650624,0.1417199020223281,0.1417199020223281,0.07377049180327869,0.07377049180327869
Transformación 1,0.12766830870279144,0.10385878489326765,0.1662210338680927,0.1359180035650624,0.14441597697371697,0.1177451644602323,0.07051282051282051,0.056962025316455694
Transformación 2,0.15605928509154315,0.15605928509154315,0.15062388591800357,0.15062388591800357,0.1532934192423755,0.1532934192423755,0.08,0.08
Transformaciones 1 + 2,0.10678210678210678,0.10678210678210678,0.15062388591800357,0.15062388591800357,0.12496939718703941,0.12496939718703941,0.06097560975609756,0.06097560975609756
