versión,accuracy_ST,accuracy_Levenshtein,recall_ST,recall_Levenshtein,f1_ST,f1_Levenshtein,jaccard_ST,jaccard_Levenshtein
Baseline,0.11458333333333333,0.10416666666666667,0.275,0.25,0.16176470588235292,0.14705882352941177,0.08943089430894309,0.08064516129032258
Transformación 1,0.12697740112994352,0.09322033898305085,0.37777777777777777,0.275,0.19006933432826542,0.13924050632911394,0.1056338028169014,0.07534246575342465
Transformación 2,0.11224489795918367,0.10204081632653061,0.275,0.25,0.15942028985507245,0.14492753623188406,0.08661417322834646,0.078125
Transformaciones 1 + 2,0.10655737704918032,0.09016393442622951,0.325,0.275,0.16049382716049382,0.1358024691358025,0.087248322147651,0.0728476821192053
