versión,accuracy_ST,accuracy_Levenshtein,recall_ST,recall_Levenshtein,f1_ST,f1_Levenshtein,jaccard_ST,jaccard_Levenshtein
Baseline,0.13636363636363635,0.13636363636363635,0.23684210526315788,0.23684210526315788,0.17307692307692307,0.17307692307692307,0.07894736842105263,0.07894736842105263
Transformación 1,0.14102564102564102,0.14102564102564102,0.2894736842105263,0.2894736842105263,0.18965517241379312,0.18965517241379312,0.08527131782945736,0.08527131782945736
Transformación 2,0.125,0.125,0.23684210526315788,0.23684210526315788,0.16363636363636364,0.16363636363636364,0.07563025210084033,0.07563025210084033
Transformaciones 1 + 2,0.11956521739130435,0.11956521739130435,0.2894736842105263,0.2894736842105263,0.16923076923076924,0.16923076923076924,0.06832298136645963,0.06832298136645963
